freq,meatitem,meat,unit,geo\TIME_PERIOD	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 	2026-01 	2026-02
M,SLAUGHT_OTH,B1000,THS_T,BG	0.27 	0.39 	0.45 	0.36 	0.78 	1.13 	1.4 	2.69 	: 	:
M,SLAUGHT_OTH,B1000,THS_T,CZ	0.07 	0.03 	0.02 	0.02 	0.04 	0.19 	0.34 	: 	: 	:
M,SLAUGHT_OTH,B1000,THS_T,DE	0.28 p	0.22 p	0.15 p	0.16 p	0.22 p	0.46 p	0.87 p	0.67 p	0.59 p	0.58 p
M,SLAUGHT_OTH,B1000,THS_T,ES	0.2 p	0.18 p	0.22 p	0.38 p	0.54 p	0.22 p	0.15 p	0.13 p	0.17 p	0.19 p
M,SLAUGHT_OTH,B1000,THS_T,FR	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
M,SLAUGHT_OTH,B1200,THS_T,BG	0.15 	0.32 	0.4 	0.25 	0.24 	0.35 	0.43 	0.98 	: 	:
M,SLAUGHT_OTH,B1200,THS_T,DE	0.26 p	0.2 p	0.13 p	0.14 p	0.2 p	0.43 p	0.83 p	0.63 p	0.57 p	0.56 p
M,SLAUGHT_OTH,B1200,THS_T,ES	0.19 p	0.17 p	0.2 p	0.35 p	0.49 p	0.2 p	0.13 p	0.12 p	: 	0.16 p
M,SLAUGHT_OTH,B1200,THS_T,FR	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
M,SLAUGHT_OTH,B1200,THS_T,NL	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
